分佈,site_id,區/鄉,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
南,臺南市南區,南區,0.2595,0.6315,42.3619,55.4,0.72673606,0.680720674,0.637172852,0.540161933,0.331576653,0.342296622,0.564050213,0.759925409,0.730329332,0.744536503,49872
南,臺南市楠西區,楠西區,0.1309,0.7071,49,50.6,0.79443544,0.726500411,0.626178591,0.448491438,0.253914034,0.281152868,0.596643692,0.791803769,0.772796584,0.775633293,3343
南,臺南市七股區,七股區,0.1393,0.6932,46.5186,50.7,0.783040242,0.724634495,0.660464098,0.590203368,0.306199271,0.321108491,0.593708871,0.791780466,0.754453603,0.752747253,7689
南,臺南市仁德區,仁德區,0.2563,0.6616,40.6964,59.3,0.742460223,0.693505713,0.63867967,0.497161395,0.320582095,0.334136323,0.576778541,0.779628855,0.754658385,0.773062434,31093
南,臺南市山上區,山上區,0.176,0.6866,46.0543,53.1,0.767625899,0.684362586,0.614285714,0.57577955,0.325439267,0.351382052,0.58916296,0.783373301,0.741764945,0.75463336,2502
南,臺南市善化區,善化區,0.2966,0.683,39,70,0.713864454,0.670759824,0.621439773,0.545459173,0.351334478,0.369779446,0.566661169,0.765406693,0.732068664,0.75109762,18466
南,臺南市西港區,西港區,0.1999,0.6625,42.6062,52.9,0.755172765,0.678582403,0.611498258,0.568132303,0.323403366,0.339732888,0.580185478,0.78738658,0.75990043,0.75893261,8927
南,臺南市下營區,下營區,0.1914,0.6947,46,56.3,0.757834461,0.705045141,0.62787449,0.591171617,0.328064552,0.346408159,0.589698256,0.786590352,0.752319772,0.760505194,8561
南,臺南市新化區,新化區,0.2291,0.658,42,55.5,0.746942132,0.693920988,0.626330768,0.518838594,0.32017966,0.351207444,0.567793263,0.782608696,0.752995968,0.758226998,17848
南,臺南市新市區,新市區,0.2667,0.6636,38.7462,59.8,0.733972741,0.684716599,0.615653611,0.551070997,0.32445284,0.349983719,0.576252498,0.76288242,0.736723549,0.764566556,14807
南,臺南市新營區,新營區,0.3002,0.6503,41,63.6,0.723682965,0.675034509,0.611798166,0.492318809,0.326212452,0.35130756,0.601687132,0.788923826,0.763160585,0.77331803,29577
南,臺南市學甲區,學甲區,0.2011,0.6665,44.2163,54.6,0.764913958,0.692769335,0.614270542,0.584325302,0.307954659,0.334395856,0.579251629,0.776306184,0.736416185,0.762053525,9589
南,臺南市鹽水區,鹽水區,0.1898,0.6777,45,55.3,0.755145631,0.684361692,0.613730519,0.574504249,0.321432225,0.357412124,0.573804348,0.772873711,0.733572672,0.746067416,9312
南,臺南市永康區,永康區,0.2883,0.6457,38.8631,61.9,0.716176441,0.671447949,0.617878867,0.491125642,0.340628368,0.352154915,0.583463389,0.783628053,0.753597571,0.770603952,93196
南,臺南市玉井區,玉井區,0.1631,0.6927,48.1481,53.6,0.78593482,0.743696748,0.634720992,0.469512195,0.278318903,0.300378856,0.603448276,0.80353118,0.770448046,0.775803403,5324
南,臺南市中西區,中西區,0.3413,0.645,43,61.6,0.707014312,0.659020619,0.623045362,0.544299832,0.3508726,0.362537413,0.546216688,0.751325155,0.713628134,0.73442208,33015
南,臺南市左鎮區,左鎮區,0.0998,0.7383,53.5595,50.6,0.829481253,0.743883394,0.66529563,0.561731694,0.254700855,0.286941581,0.572033898,0.790739627,0.747394237,0.737597131,1663
中,臺中市北區,北區,0.3323,0.635,41,59.8,0.708950852,0.669135549,0.613745055,0.429839286,0.335138504,0.345561273,0.604669636,0.811678898,0.777032111,0.790481833,66222
中,臺中市北屯區,北屯區,0.3157,0.6443,38.5578,62.5,0.716498146,0.676816083,0.618846403,0.412178871,0.320219104,0.333736271,0.6138416,0.818077822,0.787630764,0.805673214,123256
中,臺中市大安區,大安區,0.1627,0.6714,41,51.2,0.775155687,0.694992245,0.597066341,0.449362259,0.277678171,0.298666368,0.590460331,0.811671678,0.778788577,0.783168204,8979
中,臺中市大肚區,大肚區,0.2202,0.6488,38.6546,54.8,0.761928297,0.69202857,0.603123565,0.43363166,0.296200976,0.30228444,0.605067307,0.815356066,0.782348985,0.794558251,25866
中,臺中市大甲區,大甲區,0.22,0.6505,38,54.2,0.746744512,0.695457306,0.618838486,0.439353798,0.296910789,0.315760152,0.593559032,0.805285036,0.769118895,0.794370272,33680
中,臺中市大里區,大里區,0.2508,0.6379,37,55.7,0.741986304,0.68700228,0.615464554,0.444297553,0.309469676,0.321549996,0.604909739,0.812305959,0.7737868,0.79080059,90509
中,臺中市大雅區,大雅區,0.2341,0.6443,36.9755,57.2,0.740509292,0.688921187,0.609974756,0.417040359,0.291748643,0.319597679,0.601786695,0.818170752,0.785609649,0.807355942,41077
中,臺中市東區,東區,0.2689,0.6419,40.2062,56.3,0.735643863,0.680198182,0.611277031,0.463755817,0.328167958,0.331316696,0.59136863,0.802367967,0.761345898,0.780249593,35389
中,臺中市東勢區,東勢區,0.1845,0.6725,43.4181,52.7,0.794790027,0.729366603,0.650905263,0.389386429,0.256021031,0.285191022,0.592290453,0.814732047,0.779138382,0.79450439,23269
中,臺中市豐原區,豐原區,0.2448,0.6471,39,55.9,0.739775675,0.684848099,0.610999398,0.451630882,0.306885727,0.326032468,0.600956146,0.798604977,0.767946688,0.789568275,76988
中,臺中市和平區,和平區,0.1197,0.7122,45,53,0.828796562,0.73786581,0.623688423,0.36408625,0.209654686,0.227434257,0.601969873,0.839076178,0.806903164,0.80056926,5369
中,臺中市后里區,后里區,0.1957,0.6648,39,55.2,0.74249758,0.684387264,0.581730769,0.434033882,0.292973548,0.310013829,0.606698895,0.819968875,0.783646585,0.786098915,24418
中,臺中市龍井區,龍井區,0.2439,0.6472,37,57,0.743599441,0.688179268,0.611457292,0.431426082,0.318605129,0.316251141,0.601225854,0.795615444,0.76518514,0.790579383,33618
中,臺中市南區,南區,0.3415,0.6424,39,64.8,0.708223416,0.667412135,0.62086338,0.450771713,0.340829792,0.347458048,0.591760171,0.808054228,0.771281111,0.784718143,60043
中,臺中市南屯區,南屯區,0.3553,0.6422,37.9264,73,0.698729995,0.662986915,0.619785034,0.422003035,0.335028494,0.346935393,0.600699077,0.812986745,0.778752923,0.787524468,77556
中,臺中市清水區,清水區,0.2217,0.6522,39,54.4,0.752963084,0.686282951,0.605418169,0.446749551,0.306997397,0.321569229,0.612689093,0.819366,0.771660932,0.791596812,39306
中,臺中市沙鹿區,沙鹿區,0.2576,0.6631,37,60.9,0.741344799,0.682115256,0.60799023,0.431878764,0.304597126,0.317433759,0.601155462,0.81277894,0.769396607,0.80174979,39659
中,臺中市神岡區,神岡區,0.2058,0.6534,38.3799,52,0.7596794,0.689048451,0.600864226,0.461696923,0.29225779,0.301241826,0.582321094,0.807514085,0.76735345,0.782765356,29997
中,臺中市石岡區,石岡區,0.1848,0.6597,42.4398,52.1,0.775268367,0.692935547,0.604099396,0.426120642,0.265486726,0.298176163,0.606011493,0.806156874,0.775094012,0.776072748,7114
中,臺中市太平區,太平區,0.2327,0.64,37.9974,54.1,0.74481856,0.687830752,0.612008256,0.42673104,0.303205753,0.317333562,0.610043445,0.817998665,0.78100763,0.796815732,80906
中,臺中市潭子區,潭子區,0.2339,0.6441,38,57.2,0.748217523,0.688627704,0.619907576,0.434472218,0.316305522,0.310986547,0.608809615,0.817169881,0.781204667,0.796811419,48422
中,臺中市外埔區,外埔區,0.1834,0.6705,39,54.3,0.774329856,0.703528943,0.611370613,0.415543009,0.26662632,0.276061646,0.606652103,0.81959007,0.784627146,0.811472067,14783
中,臺中市烏日區,烏日區,0.2447,0.6518,38,58.3,0.73805707,0.683515404,0.607387061,0.442994764,0.305835777,0.31765994,0.597358514,0.809502691,0.775078845,0.787781735,33822
中,臺中市梧棲區,梧棲區,0.2316,0.6472,37,57.1,0.740484972,0.667647867,0.579384214,0.452957615,0.301407334,0.31375114,0.603264933,0.807790244,0.761064824,0.788227253,25134
中,臺中市霧峰區,霧峰區,0.2237,0.6535,39.6471,53.2,0.759964598,0.699362854,0.611332801,0.439017442,0.287458735,0.304026846,0.605060356,0.815071585,0.778882482,0.788343558,31012
中,臺中市西區,西區,0.3776,0.6428,41,65.5,0.693080502,0.652873178,0.608069434,0.44433783,0.346857164,0.359637921,0.589484407,0.796464387,0.76323558,0.774400767,52551
中,臺中市西屯區,西屯區,0.3524,0.6416,38,69.6,0.702055691,0.666802912,0.613893013,0.40981827,0.334962051,0.348241907,0.609570625,0.818129735,0.783657658,0.796893227,101237
中,臺中市新社區,新社區,0.1573,0.6806,42.9147,53.3,0.785553892,0.726821502,0.63017145,0.442635017,0.262219287,0.284163413,0.600691971,0.813616182,0.785743422,0.797128713,10135
中,臺中市中區,中區,0.2654,0.6517,42,54.3,0.746435845,0.697089609,0.615110205,0.488302638,0.31503856,0.320696325,0.570826536,0.799165906,0.763281145,0.760572629,7673
北,桃園市八德區,八德區,0.2407,0.66,37.9495,60.8,0.729643726,0.674220857,0.599561038,0.421877343,0.319861095,0.332665788,0.601600356,0.79784526,0.778067716,0.796414836,77782
北,桃園市大溪區,大溪區,0.2102,0.6605,39,57.4,0.749444557,0.684126095,0.601962337,0.452546443,0.30719751,0.32015061,0.592451402,0.793066146,0.764638347,0.773151224,37901
北,桃園市大園區,大園區,0.2127,0.6618,37.3794,60.9,0.73757816,0.672155018,0.581636659,0.466832946,0.319482734,0.326151391,0.588186381,0.78986167,0.755912961,0.779653015,34049
北,桃園市復興區,復興區,0.098,0.6911,38.5192,57,0.857703081,0.774018692,0.660522851,0.368345911,0.192361249,0.195820896,0.574074074,0.81605935,0.786219081,0.777532554,4583
北,桃園市觀音區,觀音區,0.19,0.6597,37.9009,59.1,0.745117732,0.675645342,0.577172601,0.46391484,0.308126669,0.324153758,0.593113868,0.793885449,0.764553484,0.777621668,25840
北,桃園市龜山區,龜山區,0.2552,0.6579,38,64.4,0.707438778,0.654416464,0.586765981,0.453725002,0.340690482,0.362403414,0.586540561,0.789654888,0.7584586,0.775103666,60705
北,桃園市龍潭區,龍潭區,0.2638,0.6627,38.8536,63.1,0.759405735,0.703602215,0.646403686,0.364107963,0.287086693,0.3001083,0.630494971,0.822153618,0.794421161,0.805407105,51179
北,桃園市蘆竹區,蘆竹區,0.2724,0.6694,37,72.1,0.716393008,0.670134754,0.602602131,0.442973797,0.331062823,0.347203187,0.590728039,0.787840602,0.759645773,0.782476402,61105
北,桃園市平鎮區,平鎮區,0.2698,0.6561,37.1218,64.2,0.738376325,0.691251471,0.613263968,0.390022507,0.310871124,0.319829675,0.615853321,0.811727524,0.79104921,0.802815671,92074
